RecordID	Category	Start Time	End Time	Attributes
Guid17	btColor	6/8/2013 02:52:31		isShowingPalette=false
Guid17	pickedColor	6/8/2013 02:52:31		"color=rgb(237,%20125,%2049)"
Guid17	toolTip	6/8/2013 02:52:47		dataShape=1
Guid17	toolTip	6/8/2013 02:55:38		dataShape=3
Guid18	create	6/8/2013 02:55:02		bindingName=bindingId
Guid18	create	6/8/2013 02:55:02		bindingName=sizeBindingId
Guid18	appInit	6/8/2013 02:55:02		chartName=treemap; machineId=; docId=docId_47DEQpj8HBSa-_TImW+5JCeuQeRkm5NMpJWZG3hSuFU^
Guid18	create	6/8/2013 02:55:02		bindingName=colorBindingId
Guid18	resize	6/8/2013 02:55:02		width=600; height=400
Guid18	resize	6/8/2013 02:55:02		width=600; height=400
Guid18	treeStats	6/8/2013 02:55:02		rootCount=0; leaveCount=0; maxDepth=0; nameColCount=0; namesWithBlanks=0
Guid18	btColor	6/8/2013 02:55:10		isShowingPalette=false
