NewColumn.Index	Attribute	Value
Guid161	anonIP	ip103
Guid161	ChartId	chartId_1377978529372_0.09904349132073314
Guid161	vers	v2
Guid162	anonIP	ip104
Guid162	ChartId	chartId_1399554548690_0.03227687467882162
Guid162	vers	v2
Guid163	anonIP	ip105
Guid163	ChartId	chartId_1399556617064_0.03826186188673575
Guid163	vers	v2
Guid164	anonIP	ip106
Guid164	ChartId	chartId_1399557265962_0.49701618641760675
Guid164	vers	v2
Guid165	anonIP	ip107
Guid165	ChartId	chartId_1399497050433_0.07821832932505834
Guid165	vers	v2
Guid181	anonIP	ip107
Guid181	ChartId	chartId_1399389540749_0.9979853095156222
Guid181	vers	v2
Guid166	anonIP	ip108
Guid166	ChartId	chartId_1399560625054_0.9792353492590208
Guid166	vers	v2
Guid167	anonIP	ip109
Guid167	ChartId	chartId_1392584632229_0.9354698979042824
Guid167	vers	v2
Guid168	anonIP	ip110
Guid168	ChartId	chartId_1390487100766_0.14203991411374311
Guid168	vers	v2
Guid169	anonIP	ip110
Guid169	ChartId	chartId_1391007870150_0.8689341857696092
Guid169	vers	v2
Guid170	anonIP	ip110
Guid170	ChartId	chartId_1391023770483_0.2708139164612488
Guid170	vers	v2
Guid171	anonIP	ip110
Guid171	ChartId	chartId_1391007622844_0.8575024682530017
Guid171	vers	v2
Guid172	anonIP	ip110
Guid172	ChartId	chartId_1390491557230_0.16193529641422716
Guid172	vers	v2
Guid173	anonIP	ip111
Guid173	ChartId	chartId_1399564033372_0.9856421645049712
Guid173	vers	v2
Guid176	anonIP	ip111
Guid176	ChartId	chartId_1399564549482_0.024536004670131062
Guid176	vers	v2
Guid177	anonIP	ip111
Guid177	ChartId	chartId_1399564592714_0.4063761469393662
Guid177	vers	v2
Guid174	anonIP	ip112
Guid174	ChartId	chartId_1399134259354_0.952569007812915
Guid174	vers	v2
Guid175	anonIP	ip113
Guid175	ChartId	chartId_1399564347623_0.0673623634874283
Guid175	vers	v2
Guid178	anonIP	ip114
Guid178	ChartId	chartId_1399568634415_0.05595273510330928
Guid178	vers	v2
Guid179	anonIP	ip115
Guid179	ChartId	chartId_1377978529372_0.09904349132073314
Guid179	vers	v2
Guid180	anonIP	ip116
Guid180	ChartId	chartId_1399383179976_0.626418708894841
Guid180	vers	v2
Guid182	anonIP	ip117
Guid182	ChartId	chartId_1399579127326_0.6123052731223061
Guid182	vers	v2
Guid183	anonIP	ip118
Guid183	ChartId	chartId_1399580080804_0.29479298874881127
Guid183	vers	v2
Guid184	anonIP	ip119
Guid184	ChartId	chartId_1399580522525_0.8151410621306048
Guid184	vers	v2
Guid185	anonIP	ip120
Guid185	ChartId	chartId_1399580518447_0.5225959291543876
Guid185	vers	v2
Guid186	anonIP	ip121
Guid186	ChartId	chartId_1399587337296_0.776186519683373
Guid186	vers	v2
Guid187	anonIP	ip122
Guid187	ChartId	chartId_1399590626099_0.6904553326558817
Guid187	vers	v2
Guid196	anonIP	ip122
Guid196	ChartId	chartId_1399592475758_0.7886724568241165
Guid196	vers	v2
Guid188	anonIP	ip123
Guid188	ChartId	chartId_1399590744336_0.039452659258196354
Guid188	vers	v2
Guid189	anonIP	ip124
Guid189	ChartId	chartId_1399591915426_0.7257284613351949
Guid189	vers	v2
Guid190	anonIP	ip124
Guid190	ChartId	chartId_1399591982907_0.5071378158913151
Guid190	vers	v2
Guid191	anonIP	ip124
Guid191	ChartId	chartId_1399592006145_0.5853048423895124
Guid191	vers	v2
Guid192	anonIP	ip124
Guid192	ChartId	chartId_1399592009048_0.20057382081937985
Guid192	vers	v2
Guid193	anonIP	ip124
Guid193	ChartId	chartId_1399592012110_0.19137093304778296
Guid193	vers	v2
Guid194	anonIP	ip124
Guid194	ChartId	chartId_1399592138234_0.8135132473316444
Guid194	vers	v2
Guid195	anonIP	ip124
Guid195	ChartId	chartId_1399592232018_0.135644519478463
Guid195	vers	v2
Guid197	anonIP	ip124
Guid197	ChartId	chartId_1399592948982_0.3096743776502172
Guid197	vers	v2
Guid198	anonIP	ip124
Guid198	ChartId	chartId_1399593088599_0.403927800324453
Guid198	vers	v2
Guid199	anonIP	ip124
Guid199	ChartId	chartId_1399593284539_0.8217634668576625
Guid199	vers	v2
Guid200	anonIP	ip125
Guid200	ChartId	chartId_1410146804844_0.5367001929433273
Guid200	vers	v3
Guid201	anonIP	ip125
Guid201	ChartId	chartId_1410146955516_0.4373690823557669
Guid201	vers	v3
Guid202	anonIP	ip126
Guid202	ChartId	chartId_1407335309196_0.5763320862222664
Guid202	vers	v3
Guid203	anonIP	ip127
Guid203	ChartId	chartId_1409867369471_0.8190056010664033
Guid203	vers	v3
Guid204	anonIP	ip128
Guid204	ChartId	chartId_1401377044252_0.3023440256283837
Guid204	vers	v3
Guid205	anonIP	ip128
Guid205	ChartId	chartId_1401375381681_0.516314506417708
Guid205	vers	v3
Guid206	anonIP	ip128
Guid206	ChartId	chartId_1401375133418_0.2435823764613393
Guid206	vers	v3
Guid207	anonIP	ip129
Guid207	ChartId	chartId_1409566747533_0.3896707489019379
Guid207	vers	v3
Guid208	anonIP	ip130
Guid208	ChartId	chartId_1410159841229_0.6707777013256044
Guid208	vers	v3
Guid209	anonIP	ip130
Guid209	ChartId	chartId_1410161766601_0.6580749099808787
Guid209	vers	v3
Guid210	anonIP	ip131
